0	-	0.550668,0.565981,0.46123,0.480554,0.550668,0.479867,0.422083	1669542820178611
1	-	0.547819,0.516603,0.534169,0.550188,0.536467,0.540664,0.51882,0.493892,0.575296,0.536779	1669542820190430
2	-	0.637194,0.663027,0.604577,0.615228,0.538441,0.635468,0.62887,0.597138,0.619157,0.644445	1669542820202086
3	-	0.469026,0.448249,0.444252,0.426722,0.448899,0.447541,0.428536,0.427925,0.441375,0.454951	1669542820213744
4	-	0.373347,0.478457,0.467584,0.468728,0.46348,0.323719,0.493363,0.481758,0.42114,0.501387	1669542820225443
5	-	0.611424,0.579965,0.542756,0.472483,0.537672,0.58069,0.58069,0.531619,0.482824,0.598468	1669542820237079
6	-	0.518289,0.506769,0.452696,0.530176,0.566078,0.457688,0.517825,0.51596,0.471314,0.531786	1669542820248704
7	-	0.338997,0.344181,0.299423,0.381442,0.317347,0.361249,0.305678,0.333902,0.291437,0.364102	1669542820260323
8	-	0.298727,0.317481,0.35519,0.320033,0.347825,0.318765,0.317129,0.350318,0.310042,0.2951	1669542820271956
9	-	0.431124,0.552299,0.349633,0.407518,0.443779,0.554907,0.504894,0.429863,0.432599,0.491929	1669542820283643
10	-	0.619195,0.604099,0.599053,0.546134,0.542689,0.544025,0.49027,0.536877,0.556443,0.545922	1669542820295238
11	-	0.422578,0.368006,0.422888,0.369073,0.449416,0.337629,0.407169,0.434392,0.438834,0.396167	1669542820306008
12	-	0.306092,0.354764,0.288891,0.35215,0.375192,0.357996,0.361127,0.326229,0.322757,0.293432	1669542820316780
13	-	0.544147,0.548915,0.512053,0.529657,0.461494,0.459962,0.453062,0.536514,0.485612,0.428892	1669542820327548
14	-	0.455271,0.512844,0.566019,0.51156,0.558996,0.485689,0.512844,0.4817,0.497144,0.4608	1669542820338288
15	-	0.547885,0.49785,0.475932,0.50406,0.396186,0.466139,0.506212,0.445384,0.497272,0.505445	1669542820348981
16	-	0.313899,0.338223,0.327718,0.342031,0.327718,0.338223,0.342031	1669542820357407
17	-	0.421528,0.567244,0.527763,0.514182,0.453546,0.567244,0.492072,0.458508,0.45466	1669542820366484
18	-	0.407818,0.437542,0.403968,0.410415,0.454106,0.438508,0.338919,0.469708,0.436124,0.44933	1669542820377100
19	-	0.440729,0.486275,0.557475,0.60075,0.51065,0.589596,0.589596	1669542820385462
20	-	0.553589,0.475975,0.452374,0.500327,0.445051,0.470803,0.522283,0.479458,0.482,0.423654	1669542820396024
21	-	0.435156,0.434041,0.48495,0.462325,0.420398,0.463761,0.448008,0.436025,0.486045,0.462325	1669542820406532
22	-	0.419167,0.484387,0.409684,0.391978,0.313001,0.499337,0.398915,0.391978,0.398915,0.430349	1669542820417093
23	-	0.452912,0.446641,0.451694,0.460341,0.446515,0.448841,0.463686,0.461679,0.43994,0.436254	1669542820427593
24	-	0.554036,0.600037,0.404901,0.476192,0.531797,0.558841,0.561247,0.45568,0.530716,0.532442	1669542820438091
25	-	0.404332,0.405417,0.397558,0.394637,0.401901,0.383636,0.409666,0.405176,0.464468,0.347675	1669542820448613
26	-	0.663777,0.61451,0.572473,0.593161,0.563222,0.566923,0.574251,0.648397,0.595738,0.561676	1669542820459095
27	-	0.376591,0.436981,0.453134,0.322042,0.36212,0.439631,0.433429,0.358203,0.522846,0.315364	1669542820469572
28	-	0.561562,0.551418,0.55384,0.556248,0.541466,0.553838,0.525188,0.534801,0.515881,0.523235	1669542820480059
29	-	0.535781,0.503669,0.580624,0.529678,0.593904,0.571307,0.563189,0.614659,0.605077,0.586914	1669542820490534
30	-	0.393009,0.42101,0.420744,0.425629,0.445271,0.406653,0.417887,0.42599,0.436242,0.407445	1669542820501009
31	-	0.43615,0.372467,0.346793,0.428091,0.419218,0.433456,0.428091,0.428091,0.393009,0.319672	1669542820511485
32	-	0.507133,0.49518,0.489888,0.517341,0.506691,0.462389,0.429159,0.486915,0.503226,0.585251	1669542820521961
33	-	0.498464,0.498227,0.493806,0.500517,0.499994,0.498777,0.513501,0.490735,0.504367,0.500961	1669542820532441
34	-	0.517971,0.527637,0.475983,0.541758,0.501746,0.518442,0.539218,0.546206,0.534859,0.500961	1669542820542918
35	-	0.564966,0.552439,0.590051,0.442237,0.477698,0.625745,0.549064,0.54977,0.538187,0.440876	1669542820553401
36	-	0.622758,0.588459,0.615854,0.584229,0.562748,0.583995,0.605184,0.617235,0.604633,0.611086	1669542820563881
37	-	0.605623,0.556532,0.598473,0.521832,0.5579,0.556532,0.475212,0.437727,0.366001,0.515224	1669542820574371
38	-	0.562297,0.366005,0.327873,0.389578,0.468694,0.486713,0.481267,0.454167,0.412133,0.382193	1669542820584863
39	-	0.567734,0.583652,0.562065,0.610747,0.554182,0.555846,0.587486,0.540817,0.58893,0.575583	1669542820595353
40	-	0.486367,0.504034,0.503706,0.509304,0.498325,0.525114,0.530769,0.515769,0.51139,0.511687	1669542820605843
41	-	0.499905,0.471806,0.490285,0.501911,0.484003,0.585724,0.567425,0.449347,0.473096,0.469592	1669542820616337
42	-	0.534927,0.593584,0.459934,0.602348,0.59198,0.587698,0.540136,0.557366,0.465142,0.57173	1669542820626826
43	-	0.363544,0.366957,0.364557,0.34006,0.342296,0.325005,0.395474,0.372069,0.410742,0.377944	1669542820637311
44	-	0.463606,0.416074,0.44862,0.416406,0.369823,0.416256,0.384464,0.452721,0.380773,0.427923	1669542820647807
45	-	0.628556,0.62141,0.606344,0.593882,0.606514,0.62365,0.560833,0.59933,0.616951,0.59136	1669542820658286
46	-	0.470222,0.543096,0.484347,0.532762,0.548728,0.532071,0.518032,0.486912,0.516663,0.477289	1669542820668923
47	-	0.546397,0.544857,0.572912,0.434226,0.503519,0.484169,0.503519,0.548501,0.481443,0.526616	1669542820679452
48	-	0.298646,0.299216,0.304515,0.298573,0.284195,0.291775	1669542820686324
49	-	0.426906,0.446614,0.435419,0.387135,0.472187,0.404504,0.457051,0.42634,0.405744,0.443491	1669542820696798
50	-	0.537339,0.565545,0.575944,0.577411,0.490514,0.538733,0.554403,0.596428,0.596818,0.599123	1669542820707308
51	-	0.452587,0.478279,0.555354,0.487044,0.472468,0.381515,0.478011,0.425806,0.460914,0.469762	1669542820717849
52	-	0.347703,0.429368,0.352361,0.368667,0.35413,0.315664,0.343895,0.355774,0.598499,0.470498	1669542820728354
53	-	0.540372,0.467723,0.471686,0.351891,0.410624,0.384333,0.388791,0.545712,0.615044,0.469927	1669542820738860
54	-	0.340322,0.442593,0.334725,0.35018,0.400967,0.396591,0.353327,0.39327,0.359669,0.36204	1669542820749415
55	-	0.358902,0.353768,0.362971,0.366484,0.373427,0.354555,0.362895,0.342841,0.352813,0.346538	1669542820759974
56	-	0.588673,0.606381,0.592729,0.494632,0.57088,0.514515,0.587835,0.471628,0.475504,0.445678	1669542820770551
